provinceState,Confirmed,Recovered,Deaths,Active,date
,11308,5587,41,5680,2020-06-02 02:33:08
,11571,5941,44,5586,2020-06-03 02:33:13
,12067,6240,48,5779,2020-06-04 02:33:14
,12067,6606,52,5409,2020-06-05 02:33:06
,12312,6903,52,5357,2020-06-06 02:33:00
,12511,7135,53,5323,2020-06-07 03:53:30
,12694,7376,56,5262,2020-06-08 03:33:22
,12859,7376,56,5427,2020-06-09 03:33:03
,13074,8015,61,4998,2020-06-10 04:07:00
,13319,8345,67,4907,2020-06-11 03:33:41
,13872,8593,67,5212,2020-06-12 05:09:52
,13872,8829,70,4973,2020-06-13 03:33:14
,14238,8829,73,5336,2020-06-14 03:33:15
,14496,9188,77,5231,2020-06-15 03:33:14
,15192,9388,81,5723,2020-06-16 04:33:09
,15542,9647,88,5807,2020-06-17 04:33:21
,15877,9920,97,5860,2020-06-18 04:33:18
,15877,10065,100,5712,2020-06-19 04:33:17
,16779,10411,113,6255,2020-06-20 04:33:19
,17225,10671,118,6436,2020-06-21 04:33:19
